Granular Environment,Broad Classification,Extra
air metagenome,Built/ Engineered/ Industrial,
wastewater,Built/ Engineered/ Industrial,
freshwater,Aquatic/ Marine,
sediment,Aquatic/ Marine,
hot springs,Extreme environment,
aquatic metagenome,Aquatic/ Marine,
feces metagenome,Host human,Host animal and insect
rhizosphere,Plant/ Fungi,
soil metagenome,Terrestrial/ soil,
marine,Aquatic/ Marine,
human gut,Host human,
anaerobic digester,Built/ Engineered/ Industrial,
fish gut,Host animal and insect,
fish metagenome,Host animal and insect,
subsurface metagenome,Terrestrial/ soil,
sludge metagenome,Built/ Engineered/ Industrial,
plant metagenome,Plant/ Fungi,
marine sediment,Aquatic/ Marine,
estuary metagenome,Aquatic/ Marine,
gut metagenome,Host human,Host animal and insect
freshwater sediment,Aquatic/ Marine,
chicken gut,Host animal and insect,
microbial mat,Extreme environment,
riverine metagenome,Aquatic/ Marine,
human skin,Host human,
activated sludge,Built/ Engineered/ Industrial,
mangarove metagenome,Aquatic/ Marine,
algae metagenome,Plant/ Fungi,
insect metagenome,Host animal and insect,
skin metagenome,Host human,Host animal and insect
biofilm metagenome,Built/ Engineered/ Industrial,
oil production facility metagenome,Built/ Engineered/ Industrial,
leaf metagenome,Plant/ Fungi,
food fermentation,Built/ Engineered/ Industrial,
food metagenome,Built/ Engineered/ Industrial,
sheep metagenome,Host animal and insect,
bovine gut,Host animal and insect,
Triticum aestivum,Plant/ Fungi,
human oral metagenome,Host human,
compost metagenome,Built/ Engineered/ Industrial,
indoor metagenome,Built/ Engineered/ Industrial,
milk metagenome,Built/ Engineered/ Industrial,
manure metagenome,Built/ Engineered/ Industrial,
straw metagenome,others,
cave metagenome,Terrestrial/ soil,
lichen,Plant/ Fungi,
seawater,Aquatic/ Marine,
cattle metagenome,Host animal and insect,
lagoon metagenome,Aquatic/ Marine,
coral metagenome,Aquatic/ Marine,
wetland metagenome,Aquatic/ Marine,
hypersaline lake,Aquatic/ Marine,
salt mine,Terrestrial/ soil,
sponge metagenome,Aquatic/ Marine,
lumpy skin disease,Host animal and insect,Host human
fertilizer metagenome,Built/ Engineered/ Industrial,
honey metagenome,Built/ Engineered/ Industrial,
rock metagenome,Terrestrial/ soil,
plastic metagenome,Built/ Engineered/ Industrial,
mammal metagenome,Host human,Host animal and insect
urine metagenome,Host human,
pig gut metagenome,Host animal and insect,
tobacco metagenome,Plant/ Fungi,
urban metagenome,Built/ Engineered/ Industrial,
rat metagenome,Host animal and insect,
leaf litter fungus metagenome,Terrestrial/ soil ,Plant/ Fungi
invertebrate metagenome,Host animal and insect,
medical device metagenome,Built/ Engineered/ Industrial,
poultry litter metagenome,Host animal and insect,
